ssc_name, ssc2011
Marysville,20855
Maude (Vic.),20856
McCrae,20857
McKenzie Creek,20858
McKenzie Hill,20859
McKinnon,20860
McMahons Creek,20861
McMillans,20862
Mead,20863
Meadow Heights,20864
Meeniyan,20865
Meerlieu,20866
Melbourne,20867
Melbourne Airport,20868
Melton (Vic.),20869
Melton South,20870
Melton West,20871
Mentone,20872
Menzies Creek,20873
Mepunga East,20874
Merbein,20875
Merbein South,20876
Meredith,20877
Meringur,20878
Merino,20879
Mernda,20880
Merricks North,20881
Merrigum,20882
Merrijig (Mansfield - Vic.),20883
Merrimu,20884
Merton,20885
Metcalfe,20886
Metung,20887
Mia Mia (Vic.),20888
Mickleham,20889
Middle Park (Vic.),20890
Miepoll,20891
Milawa,20892
Mildura,20893
Mill Park,20894
Millbrook (Vic.),20895
Millgrove,20896
Miners Rest,20897
Minimay,20898
Minyip,20899
Mirboo,20900
Mirboo North,20901
Mitcham (Vic.),20902
Mitchell Park (Vic.),20903
Mitta Mitta,20904
Modewarre,20905
Moe,20906
Moe South,20907
Monbulk,20908
Monegeetta,20909
Mont Albert,20910
Mont Albert North,20911
Montmorency,20912
Montrose (Vic.),20913
Moolap,20914
Moonambel,20915
Moonee Ponds,20916
Moorabbin,20917
Moorabbin Airport,20918
Moorabool,20919
Moorooduc,20920
Mooroolbark,20921
Mooroopna,20922
Mooroopna North,20923
Mordialloc,20924
Moriac,20925
Mornington (Vic.),20926
Morrisons,20927
Mortlake (Vic.),20928
Morwell,20929
Mossiface,20930
Mount Beauty,20931
Mount Buller,20932
Mount Camel,20933
Mount Clear,20934
Mount Cottrell,20935
Mount Dandenong,20936
Mount Duneed,20937
Mount Egerton,20938
Mount Eliza,20939
Mount Evelyn,20940
Mount Franklin,20941
Mount Helen,20942
Mount Macedon,20943
Mount Martha,20944
Mount Moriac,20945
Mount Pleasant (Vic.),20946
Mount Rowan,20947
Mount Taylor,20948
Mount Waverley,20949
Moutajup,20950
Moyhu,20951
Moyston,20952
Muckleford,20953
Mudgegonga,20954
Mulgrave (Vic.),20955
Munro,20956
Murchison (Vic.),20957
Murchison East,20958
Murgheboluc,20959
Murrabit,20960
Murray-Sunset,20961
Murrayville,20962
Murrindindi,20963
Murrumbeena,20964
Murtoa,20965
Musk,20966
Myers Flat,20967
Myrniong,20968
Myrtleford,20969
Mystic Park,20970
Nagambie,20971
Nambrok,20972
Nandaly,20973
Nangiloc,20974
Nanneella,20975
Napoleons,20976
Nar Nar Goon,20977
Nar Nar Goon North,20978
Narbethong (Vic.),20979
Nareen,20980
Nariel Valley,20981
Naringal,20982
Narracan,20983
Narrawong,20984
Narre Warren,20985
Narre Warren East,20986
Narre Warren North,20987
Narre Warren South,20988
Nathalia,20989
Natimuk,20990
Navarre,20991
Navigators,20992
Neerim,20993
Neerim East,20994
Neerim South,20995
Neilborough,20996
Nelson (Vic.),20997
Nerrena,20998
Nerrina,20999
Netherby (Vic.),21000
New Gisborne,21001
Newborough,21002
Newbridge (Vic.),21003
Newcomb,21004
Newham,21005
Newhaven,21006
Newington (Vic.),21007
Newlands Arm,21008
Newlyn North,21009
Newmerella,21010
Newport (Vic.),21011
Newry,21012
Newstead (Vic.),21013
Newtown (Greater Geelong - Vic.),21014
Nhill,21015
Nichols Point,21016
Nicholson (Vic.),21017
Niddrie,21018
Nilma,21019
Nilma North,21020
Nirranda,21021
Noble Park,21022
Noble Park North,21023
Noojee,21024
Noorat,21025
Norlane,21026
Norong,21027
North Bendigo,21028
North Geelong,21029
North Melbourne,21030
North Shore (Vic.),21031
North Wangaratta,21032
North Warrandyte,21033
North Wonthaggi,21034
Northcote,21035
